title,type,country,release_year,rating,genres,platform
My Girl 2,Movie,United States,1994,PG,"['Children & Family Movies', 'Comedies', 'Dramas']",Netflix
Open Season: Scared Silly,Movie,"United States, Canada",2015,PG,"['Children & Family Movies', 'Comedies']",Netflix
Pineapple Express,Movie,United States,2008,R,"['Action & Adventure', 'Comedies']",Netflix
Planet 51,Movie,"Spain, United Kingdom, United States",2009,PG,"['Children & Family Movies', 'Comedies', 'Sci-Fi & Fantasy']",Netflix
Poms,Movie,"United Kingdom, United States",2019,PG-13,['Comedies'],Netflix
Seabiscuit,Movie,United States,2003,PG-13,"['Dramas', 'Sports Movies']",Netflix
Space Cowboys,Movie,United States,2000,PG-13,"['Action & Adventure', 'Dramas', 'Sci-Fi & Fantasy']",Netflix
Team America: World Police,Movie,"United States, Germany",2004,R,"['Action & Adventure', 'Comedies', 'Cult Movies']",Netflix
The Edge of Seventeen,Movie,"United States, China",2016,R,"['Comedies', 'Dramas']",Netflix
The Haunting in Connecticut 2: Ghosts of Georgia,Movie,United States,2013,R,['Horror Movies'],Netflix
The Last Boy Scout,Movie,United States,1991,R,"['Action & Adventure', 'Comedies']",Netflix
The Lincoln Lawyer,Movie,United States,2011,R,"['Dramas', 'Thrillers']",Netflix
The Losers,Movie,"United States, France",2010,PG-13,['Action & Adventure'],Netflix
The Machinist,Movie,"Spain, France, United Kingdom, United States",2004,R,"['Dramas', 'Independent Movies', 'Thrillers']",Netflix
The Net,Movie,United States,1995,PG-13,['Thrillers'],Netflix
The Original Kings of Comedy,Movie,United States,2000,R,['Stand-Up Comedy'],Netflix
Valentine's Day,Movie,United States,2010,PG-13,"['Comedies', 'Romantic Movies']",Netflix
Charmed,TV Show,United States,2021,TV-14,"['TV Dramas', 'TV Sci-Fi & Fantasy']",Netflix
The Lost Café,Movie,,2018,TV-14,"['Dramas', 'International Movies']",Netflix
The Vault,Movie,,2021,R,"['Action & Adventure', 'International Movies', 'Thrillers']",Netflix
Centaurworld,TV Show,,2021,TV-Y7,"[""Kids' TV"", 'TV Comedies']",Netflix
Eyes of a Thief,Movie,", France, Algeria",2014,TV-14,"['Dramas', 'Independent Movies', 'International Movies']",Netflix
Glow Up,TV Show,United Kingdom,2021,TV-14,"['British TV Shows', 'International TV Shows', 'Reality TV']",Netflix
I'm Glad I Did,Movie,,2020,TV-14,"['Documentaries', 'International Movies']",Netflix
Khawatir,TV Show,,2009,TV-14,"['International TV Shows', 'Reality TV']",Netflix
Myth & Mogul: John DeLorean,TV Show,,2021,TV-14,"['British TV Shows', 'Crime TV Shows', 'Docuseries']",Netflix
Outer Banks,TV Show,United States,2021,TV-MA,"['TV Action & Adventure', 'TV Dramas', 'Teen TV Shows']",Netflix
Pomegranates and Myrrh,Movie,,2009,TV-14,"['Dramas', 'Independent Movies', 'International Movies']",Netflix
Rurouni Kenshin: The Beginning,Movie,,2021,TV-MA,"['Action & Adventure', 'International Movies']",Netflix
The Last Mercenary,Movie,,2021,TV-MA,"['Action & Adventure', 'Comedies', 'International Movies']",Netflix
Flower Girl,Movie,Nigeria,2013,TV-PG,"['Comedies', 'International Movies', 'Romantic Movies']",Netflix
Resort to Love,Movie,,2021,TV-14,"['Comedies', 'Romantic Movies']",Netflix
Transformers: War for Cybertron: Kingdom,TV Show,,2021,TV-Y7,['Anime Series'],Netflix
Bartkowiak,Movie,Poland,2021,TV-MA,"['Action & Adventure', 'International Movies']",Netflix
Fantastic Fungi,Movie,United States,2019,TV-14,['Documentaries'],Netflix
Tattoo Redo,TV Show,,2021,TV-MA,['Reality TV'],Netflix
The Flash,TV Show,United States,2021,TV-14,"['Crime TV Shows', 'TV Action & Adventure', 'TV Sci-Fi & Fantasy']",Netflix
The Snitch Cartel: Origins,TV Show,,2021,TV-MA,"['Crime TV Shows', 'International TV Shows', 'Spanish-Language TV Shows']",Netflix
All American,TV Show,United States,2021,TV-14,"['TV Dramas', 'Teen TV Shows']",Netflix
Department,Movie,India,2012,TV-MA,"['Action & Adventure', 'International Movies']",Netflix
Hostage House,Movie,,2021,TV-14,['Thrillers'],Netflix
How to Sell Drugs Online (Fast),TV Show,Germany,2021,TV-MA,"['Crime TV Shows', 'International TV Shows', 'TV Comedies']",Netflix
Mighty Express,TV Show,"United States, Canada",2021,TV-Y,"[""Kids' TV""]",Netflix
Mimi,Movie,,2021,TV-14,"['Comedies', 'Dramas', 'International Movies']",Netflix
Plastic Cup Boyz: Laughing My Mask Off!,TV Show,,2021,TV-MA,"['Stand-Up Comedy & Talk Shows', 'TV Comedies']",Netflix
The Operative,Movie,"France, Israel, Germany, United States, United Kingdom",2019,TV-MA,"['Dramas', 'International Movies', 'Thrillers']",Netflix
The Walking Dead,TV Show,United States,2019,TV-MA,"['Classic & Cult TV', 'TV Action & Adventure', 'TV Dramas']",Netflix
Wynonna Earp,TV Show,"Canada, United States",2020,TV-MA,"['International TV Shows', 'TV Action & Adventure', 'TV Dramas']",Netflix
Django Unchained,Movie,United States,2012,R,"['Action & Adventure', 'Dramas']",Netflix
A Second Chance:  Rivals!,Movie,Australia,2021,PG,"['Children & Family Movies', 'Sports Movies']",Netflix
African America,Movie,,2021,TV-MA,"['Dramas', 'Independent Movies', 'International Movies']",Netflix
Bankrolled,Movie,,2021,TV-MA,"['Comedies', 'International Movies']",Netflix
Blood Red Sky,Movie,,2021,TV-MA,"['Action & Adventure', 'Horror Movies', 'International Movies']",Netflix
Feels Like Ishq,TV Show,,2021,TV-MA,"['International TV Shows', 'Romantic TV Shows', 'TV Comedies']",Netflix
Kingdom: Ashin of the North,Movie,,2021,TV-MA,"['Horror Movies', 'International Movies', 'Thrillers']",Netflix
Masters of the Universe: Revelation,TV Show,,2021,TV-PG,"['TV Action & Adventure', 'TV Sci-Fi & Fantasy']",Netflix
Revelations: The Masters of the Universe: Revelation Aftershow,TV Show,,2021,TV-PG,"['Anime Series', 'Stand-Up Comedy & Talk Shows']",Netflix
Sky Rojo,TV Show,Spain,2021,TV-MA,"['International TV Shows', 'Spanish-Language TV Shows', 'TV Action & Adventure']",Netflix
The Last Letter From Your Lover,Movie,United Kingdom,2021,TV-MA,"['Dramas', 'Romantic Movies']",Netflix
The Movies That Made Us,TV Show,United States,2021,TV-MA,['Docuseries'],Netflix
9to5: The Story of a Movement,Movie,,2021,TV-MA,['Documentaries'],Netflix
Chhota Bheem - Dinosaur World,Movie,,2015,TV-Y,['Children & Family Movies'],Netflix
Chhota Bheem - Neeli Pahaadi,Movie,,2013,TV-Y7,['Children & Family Movies'],Netflix
Chhota Bheem & Ganesh,Movie,,2009,TV-Y7,['Children & Family Movies'],Netflix
Chhota Bheem & Krishna: Mayanagari,Movie,,2011,TV-Y7,['Children & Family Movies'],Netflix
Chhota Bheem & Krishna: Pataliputra- City of the Dead,Movie,,2010,TV-Y7,['Children & Family Movies'],Netflix
Chhota Bheem And The Broken Amulet,Movie,India,2013,TV-Y7,['Children & Family Movies'],Netflix
Chhota Bheem And The Crown of Valhalla,Movie,,2013,TV-Y7,['Children & Family Movies'],Netflix
